agency,df,ver,tmp_file,c_UNICEF_INDICATOR,c_DATA_SOURCE,c_OBS_FOOTNOTE,c_SEX,c_AGE,c_RESIDENCE,c_WEALTH_QUINTILE,dq,indic_name
UNESCO,EDU_FINANCE,1.0,EDU_FIN_GDP.csv,EDU_FIN_GDP,UIS,,_T,_T,_T,_T,EDU_EXP.GDP._T.._T._T.GOV._T...AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SK+TJ+TM+TR+UA+UZ,Total public expenditure on education as  % of GDP
UNESCO,EDU_FINANCE,1.0,EDU_FIN_GOV_EXP_T.csv,EDU_FIN_GOV_EXP_T,UIS,,_T,_T,_T,_T,EDU_EXP.GOV_EXP_T._T........AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SK+TJ+TM+TR+UA+UZ,Total public expenditure on education as  % total government expenditure
UNESCO,EDU_FINANCE,1.0,EDU_FIN_PPP_CONST.csv,EDU_FIN_PPP_CONST,UIS,,_T,_T,_T,_T,EDU_EXP.PPP_CONST._T._T.......AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SK+TJ+TM+TR+UA+UZ,Total amount of public expenditure on education (in constant PPP $)


UNESCO,EDU_FINANCE,1.0,EDU_FIN_GOV_EXP_L02.csv,EDU_FIN_GOV_EXP_L02,UIS,,_T,_T,_T,_T,EDU_EXP.GOV_EXP_EDU.L02._T.._T.....AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SK+TJ+TM+TR+UA+UZ,Current Expenditures By ISCED Level (ISCED 02)
UNESCO,EDU_FINANCE,1.0,EDU_FIN_GOV_EXP_L1.csv,EDU_FIN_GOV_EXP_L1,UIS,,_T,_T,_T,_T,EDU_EXP.GOV_EXP_EDU.L1._T.._T.....AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SK+TJ+TM+TR+UA+UZ,Current Expenditures By ISCED Level (ISCED 1)
UNESCO,EDU_FINANCE,1.0,EDU_FIN_GOV_EXP_EDU_L2.csv,EDU_FIN_GOV_EXP_EDU_L2,UIS,,_T,_T,_T,_T,EDU_EXP.GOV_EXP_EDU.L2..._T.....AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SK+TJ+TM+TR+UA+UZ,Government Expenditures By ISCED Level (ISCED 2)
UNESCO,EDU_FINANCE,1.0,EDU_FIN_GOV_EXP_EDU_L3.csv,EDU_FIN_GOV_EXP_EDU_L3,UIS,,_T,_T,_T,_T,EDU_EXP.GOV_EXP_EDU.L3..._T.....AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SK+TJ+TM+TR+UA+UZ,Government Expenditures By ISCED Level (ISCED 3)
UNESCO,EDU_FINANCE,1.0,EDU_FIN_GOV_EXP_EDU_L4.csv,EDU_FIN_GOV_EXP_EDU_L4,UIS,,_T,_T,_T,_T,EDU_EXP.GOV_EXP_EDU.L4..._T.....AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SK+TJ+TM+TR+UA+UZ,Government Expenditures By ISCED Level (ISCED 4)
UNESCO,EDU_FINANCE,1.0,EDU_FIN_GOV_EXP_EDU_L4.csv,EDU_FIN_GOV_EXP_EDU_L4,UIS,,_T,_T,_T,_T,EDU_EXP.GOV_EXP_EDU.L5T8..._T.....AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SK+TJ+TM+TR+UA+UZ,Government Expenditures By ISCED Level (ISCED 5)
